name,party,ministry
Amanda Cohn,The Greens NSW,
Cate Faehrmann,The Greens NSW,
Sue Higginson,The Greens NSW,
Jenny Leong,The Greens NSW,
Kobi Shetty,The Greens NSW,
Tamara Smith,The Greens NSW,
Kevin Anderson,The Nationals NSW,
Scott Barrett,The Nationals NSW,
Steph Cooke,The Nationals NSW,
Wes Fang,The Nationals NSW,
Ben Franklin,The Nationals NSW,
Michael Kemp,The Nationals NSW,
Dave Layzell,The Nationals NSW,
Sarah Mitchell,The Nationals NSW,
Brendan Moylan,The Nationals NSW,
Nichole Overall,The Nationals NSW,
Geoff Provest,The Nationals NSW,
Dugald Saunders,The Nationals NSW,
Gurmesh Singh,The Nationals NSW,
Tanya Thompson,The Nationals NSW,
Paul Toole,The Nationals NSW,
Richie Williamson,The Nationals NSW,
"Barilaro, John",The Nationals NSW,NSW Deputy Premier
Roy Butler, Independent,
Helen Dalton, Independent,
Philip Donato, Independent,
Alex Greenwich, Independent,
Judy Hannan, Independent,
Mark Latham, Independent,
Taylor Martin, Independent,
Joe McGirr, Independent,
Tania Mihailuk, Independent,
Greg Piper, Independent,
Michael Regan, Independent,
Rod Roberts, Independent,
Jacqui Scruby, Independent,
Gareth Ward, Independent,
"Akister, The Hon. John Edward",,
"Allan, The Hon. Pamela Diane",,
"Amato, Mr Louis",,
"Amery, The Hon. Richard Sanderson",,
"Amon, Rory",,
"Anderson, The Hon. Peter Thomas",,
"Andrews, Mr Allan",,
"Andrews, Ms Marie Therese",,
"Annesley, Mr Graham",,
"Aplin, Mr Gregory John",,
"Aquilina, The Hon. John Joseph",,
"Ashton, Mr Alan John",,
"Ayres, The Hon. Stuart Laurence",,
"Baldwin, Mr Peter Jeremy",,
"Barham, Ms Jan",,
"Barr, Mr David",,
"Bassett, Mr Bart Edward",,
"Baumann, Mr Craig Asbjorn",,
"Beamer, The Hon. Diane",,
"Beckroge, Bill",,
"Berry, Mr David John",,
"Besseling, Mr Peter Edward",,
"Black, Mr Peter Laurence",,
"Blackmore, Mr Peter Terrence",,
"Blair, The Hon. Niall Mark",,
"Borger, Mr David Lawrence",,
"Brading, Mr Ralph Charles",,
"Breen, Mr Peter James",,
"Brewster, Mr Edward Jones",,
"Brookes, Dr William",,
"Brookes, Mr Glenn Edward",,
"Brown, Mr Matthew James",,
"Brown, The Hon. Robert Leslie",,
"Bull, The Hon. Richard Thomas Marshall",,
"Burgmann, The Hon. Dr Meredith Anne",,
"Burke, Tony",,
"Burney, The Hon. Linda Jean",,
"Burnswoods, Ms Janice Carolyn",,
"Burton, Ms Cherie Ann",,
"Campbell, The Hon. David Andrew",,
"Cansdell, Steve",,
"Casuscelli, Mr Charles",,
"Catanzariti, Tony",,
"Cavalier, The Hon. Rodney Mark",,
"Chappell, Mr Raymond Francis",,
"Chaytor, Mr Steven John",,
"Chesterfield-Evans, Dr Arthur",,
"Clarke, The Hon. David John",,
"Cleary, The Hon. Michael Arthur",,
"Cochran, Mr Peter Lachlan",,
"Coghill, Mr John",,
"Cohen, Ms Anne Margaret",,
"Cohen, The Hon. Ian",,
"Coleman, Mr Lloyd Duncan Watt",,
"Colless, The Hon. Richard Hargrave",,
"Collier, Mr Barry Joseph",,
"Conolly, Mr Kevin Francis",,
"Coombs, Mr Robert Darcy",,
"Corbett, The Hon. Alan Gordon",,
"Cornwell, Mr Andrew Stuart",,
"Corrigan, Mr Geoffrey",,
"Costa, Mr Phillip John",,
"Cotton, Mr Michael Cullen",,
"Crawford, Mr Peter Thomson",,
"Crittenden, Mr Paul Ronald",,
"Crosio, The Hon. Janice Ann",,
"Cusack, The Hon. Catherine Eileen",,
"D'Amore, Ms Angela",,
"Dawson, Mr John",,
"Day, Mr William",,
"Debnam, Mr Peter John",,
"Debus, Bob",,
"Degen, Mr Roger Charles",,
"Denison, Mr Alfred",,
"Dewar, Mr George Alexander",,
"Dickson, Dr John",,
"Dominello, The Hon. Victor Michael",,
"Dowd, The Hon. John Robert Arthur",,
"Downy, Mr Christopher John",,
"Doyle, Mr Bryan Michael",,
"Draper, Mr Peter Ross",,
"Dyer, The Hon. Ronald David",,
"Edwards, Mr Garry Keith",,
"Elliott, The Hon. David Andrew",,
"Ellis, Mr Eric James",,
"Evans, Mr Austin William",,
"Evans, Mr Lee Justin",,
"Fardell, Mrs Dawn Elizabeth",,
"Farraway, The Hon. Samuel",,
"Fazio, The Hon. Amanda Ruth",,
"Ficarra, Ms Marie Ann",,
"Field, Mr Justin Robert",,
"Firth, The Hon. Verity Helen",,
"Foot, Mrs Rosemary Irene",,
"Forbes, Mr George",,
"Forsythe, The Hon. Patricia",,
"Foster, Sir William",,
"Fraser, Mr Andrew Raymond Gordon",,
"Fraser, Ms Dawn",,
"Freeman, Mr Ross Buchanan",,
"Furolo, Mr Robert Anthony",,
"Gabb, The Hon. Kenneth George",,
"Gadiel, The Hon. Tanya Rachelle",,
"Gallacher, The Hon. Michael Joseph",,
"Gardiner, Jenny",,
"Gay, The Hon. Duncan John",,
"Gee, Mr Andrew Robert",,
"George, The Hon. Thomas",,
"Gibbons, Ms Melanie Rhonda",,
"Gibson, Mr Paul Bernard",,
"Giles, Mr James",,
"Goward, The Hon. Prudence Jane",,
"Graham, Bob",,
"Graham, Mr George",,
"Grant, Mr Patrick",,
"Grant, The Hon. Troy Wayne",,
"Green, Mr Paul",,
"Greene, The Hon. Kevin Patrick",,
"Grey, Henry",,
"Griffin, Ms Kayee Frances",,
"Grusovin, The Hon. Deirdre Mary",,
"Gulaptis, Mr Christopher",,
"Hale, Ms Sylvia Phyllis",,
"Hall, Mrs Jill Griffiths",,
"Hallam, The Hon. Jack Rowland",,
"Hancock, The Hon. Shelley Elizabeth",,
"Hannaford, The Hon. John Planta",,
"Hardy, Mr William",,
"Harrison, Bob",,
"Harrison, The Hon. Gabrielle Mary",,
"Hartcher, Mr Christopher Peter",,
"Harwin, The Hon. Donald Thomas",,
"Hatton, Mr John Edward",,
"Hatzistergos, The Hon. John",,
"Hay, Mr David Aberdeen",,
"Hay, Ms Noreen",,
"Hazzard, Brad",,
"Hellyer, Mr William",,
"Hickey, The Hon. Kerry Arthur",,
"Hill, Edward",,
"Hill, Rowland",,
"Hodgkinson, The Hon. Katrina Ann",,
"Holstein, Mr Christopher David",,
"Hood, Mr Thomas",,
"Hopwood, Judy",,
"Hughes, Mr Henry",,
"Humpherson, Mr Andrew",,
"Humphries, The Hon. Kevin John",,
"Hunter, Mr Jeffery",,
"Innes, Mr William",,
"Irwin, Mr Geoffrey Stewart",,
"Issa, Tony",,
"Jeffery, Mr Bruce Leslie",,
"Jenkins, The Hon. Jon Gordon",,
"Johnsen, Mr Michael John",,
"Jones, The Hon. Malcolm Irving",,
"Jones, The Hon. Richard Stanley Leigh",,
"Judge, Ms Virginia",,
"Kelly, Mr Tony",,
"Kelly, Mr Michael William",,
"Kerr, Mr Malcolm John",,
"Kersten, Mr Mark Raymond",,
"Khan, The Hon. Trevor John",,
"Khoshaba, Mr Ninos",,
"Kinross, Mr Jeremy Stirton Prevost",,
"Kirkby, The Hon. Elisabeth",,
"Knight, The Hon. Michael Steven",,
"Knowles, The Hon. Craig John",,
"Koperberg, Mr Philip Christian",,
"Lalich, Mr Nickola",,
"Lang, Mr Andrew",,
"Lauga, Mr Burman",,
"Leary, Mr George",,
"Lee, The Hon. Geoffrey",,
"Lethbridge, Mr Robert",,
"Lindsay, Ms Wendy Elizabeth",,
"Lo Po', The Hon. Faye",,
"Longley, Jim",,
"Loughnane, Mr Michael John",,
"Lovelee, Mr William Thomas",,
"Luscombe, Mr Richard Charles",,
"Lynch, Mr Paul Gerard",,
"Lynn, The Hon. Charlie John Stuart",,
"MacCarthy, Mr Bruce Edward",,
"Macdonald, Dr Peter Alexander Cameron",,
"Macdonald, Mr Ian Michael",Australian Labor Party NSW,
"MacDonald, Mr Scot",,
"Machin, Ms Wendy Susan",,
"Maguire, Mr Daryl William", Liberal Party NSW,
"Mallard, Mr Maxwell Shayne",,
"Marshall, The Hon. Adam John",,
"Martin, Mr Gerard Francis",,
"Martin, Bob",,
"Mason, The Hon. John Marsden",,
"Mason-Cox, The Hon. Matthew Ryan",,
"Matheson, Mr Guy Kevin Vincent",,
"McCartney, Mr Robert Arthur",,
"McDonald, Dr Andrew Dominic",,
"McDonald, Mr Bruce John",,
"McIlwaine, Mr Garry David",,
"McIntyre, Mr Donald",,
"McKay, Ms Jodi Leyanne",,
"McLeay, Mr Paul Edward",,
"McMahon, Ms Lylea Anne",,
"McManus, Mr Ian",,
"McNamara, Mr John",,
"McTaggart, Mr Alexander John",,
"Merton, Mr Wayne Ashley",,
"Meston, Mr Robert",,
"Mills, Mr John Charles",,
"Moore, Ms Clover",,
"Moore, The Hon. Timothy John",,
"Moselmane, The Hon. Shaoquett Chaher",,
"Moss, Mr Kevin Joseph",,
"Murphy, Mr James",,
"Murphy, Mr William Alfred",,
"Murray, The Hon. John Henry",,
"Mutch, Mr Stephen Bruce",,
"Nagle, Mr Peter Richard",,
"Newell, Mr Neville Joseph",,
"Nile, Fred",,
"Nori, The Hon. Sandra Christine",,
"Notley-Smith, Mr Bruce Neville",,
"O'Dea, The Hon. Jonathan Richard",,
"O'Doherty, Mr Stephen Mark",,
"Oakeshott, Mr Robert James Murray",,
"Oldfield, The Hon. David Ernest",PAULINE HANSON'S ONE NATION,
"Osborne, Mr Alick",,
"Owen, Mr Michael Joseph",,
"Owen, Mr Timothy Francis",,
"Packard, Mr Anthony Charles",,
"Page, The Hon. Donald Loftus",,
"Paluzzano, Mrs Karyn Lesley",,
"Parker, Mr Jamie Thomas",,
"Parker, The Hon. Robyn Mary",,
"Patterson, Mr Christopher Stewart",,
"Pavey, The Hon. Melinda Jane",,
"Pearce, Mr Paul Ronald",,
"Pearce, The Hon. Gregory Stephen",,
"Pearson, Mr Mark",,
"Pennington, Mr William George",,
"Perry, The Hon. Barbara Mazzel",,
"Petch, Mr Ivan John",,
"Pezzutti, The Hon. Dr Brian Patrick Victor",,
"Phelps, Dr Peter",,
"Phillips, The Hon. Ronald Anthony",,
"Photios, Mr Michael Stephen",,
"Piccoli, The Hon. Adrian",,
"Pickering AM, Ted",,
"Portus, Mr Alexander Brown",,
"Poulos, Mr Peter John",,
"Price, The Hon. John Charles",,
"Prince, Mr Henry",,
"Pringle, Mr Steven Bruce Scott",,
"Raines, Mr Ronald Bruce",,
"Read, Ms Robyn",,
"Reed, The Hon. Kenneth Warren",,
"Richardson, Mr Charles",,
"Richardson, Mr Michael John",,
"Riley, Mr Charles",,
"Roberts, Mr Robert Gordon Arthur",,
"Robertson, Mr John",,
"Robertson, Ms Christine Mary",,
"Rohan, Mr Andrew Baijan",,
"Rowell, Mr Jai Travers",,
"Rozzoli, The Hon. Kevin Richard",,
"Rumble, Mr Terrence John",,
"Ryan, Mr Kevin James",,
"Ryan, The Hon. John Francis",,
"Sage, Mrs Roza Eva Maria",,
"Saliba, Ms Marianne Frances",,
"Sartor, The Hon. Frank Ernest",,
"Scott, Mr Walter Robert",,
"Searle, The Hon. Adam",,
"Seaton, Ms Peta Luise",,
"Secord, The Hon. Walter",,
"Sham-Ho, The Hon. Dr Helen Wai-Har",,
"Sheahan, Terence William",,
"Shearan, Mr Allan Francis",,
"Shoebridge, Mr David",,
"Sidgreaves, Mr Peter Bryan",,
"Sidoti, Mr Anthony John",,
"Sinclair, The Hon. Ian McCahon",,
"Singleton, Mr Matthew",,
"Skinner, The Hon. Jillian Gell",,
"Slack-Smith, Mr Ian Lindsay",,
"Smiles, Mr Phillip Murray",,
"Smith, Mr Nathaniel Gerard",,
"Smith, Mr Russell Harold Lester",,
"Smith, Mr Wayne Douglas",,
"Smith, The Hon. Gregory Eugene",,
"Souris, The Hon. George",,
"Spence, Mr Christopher",,
"Staunton, The Hon. Patricia Jane",,
"Stewart, Anthony Paul",,
"Stewart, Mr Alan Gibson",,
"Stirling, Mr John",,
"Stokes, The Hon. Robert Gordon",,
"Stone, Mrs Lorna June",,
"Stoner, The Hon. Andrew John",,
"Sullivan, Mr John William",,
"Taylor, Mr James",,
"Taylor, Mr Thomas Whitford",,
"Taylor, Bronwyn",,
"Tebbutt, The Hon. Carmel Mary",Australian Labor Party NSW,
"Terenzini, Frank",,
"Thomas, Mr Norman",,
"Thompson, Mr George Edmund",,
"Thomson, Mr James",,
"Thurlow, Mr William Edward",,
"Tink, Mr Andrew Arnold",,
"Torbay, The Hon. George Richard",,
"Tripodi, Joe",Australian Labor Party NSW,
"Tsang, The Hon. Henry",,
"Turner, Mr John Harcourt",,
"Turner, Mr Russell William",,
"Upton, The Hon. Gabrielle Cecelia",,
"Veitch, Mick",,
"Vivian, Mr Walter Hussey",,
"Walker, Mr William",,
"Walker, Ms Dawn Elizabeth",,
"Waller, Mr John Gough",,
"Watkins, The Hon. Peter Francis",,
"Webb, Mr Peter William",,
"Webber, Mr Darren James",,
"Webster, Mr Thomas Stephen",,
"Webster, The Hon. Robert James",,
"West, Mr Ian William",,
"West, The Hon. Garry Bruce",,
"West, The Hon. Graham James",,
"Westwood, Ms Helen",,
"Wilkinson, Mr John",,
"Willard, Mr John",,
"Williams, Mr John Douglas",,
"Williams, The Hon. Leslie Gladys",,
"Windsor, Mr Antony Harold Curties",,
"Wong, Dr Peter",,
"Wong, Mr Ernest",,
"Woods, The Hon. Harry Francis",,
"Yabsley, Mr Michael Robert",,
"Yeadon, The Hon. Kimberley Maxwell",,
"Yeomans, Mr Guy Andrew",,
"Zammit, Mr Paul John",,
"Zangari, Mr Guy",,
