group,person,title,start_date,end_date,evidence
Lismore City COuncil, Steve Krieg, Mayor, , , https://www.smh.com.au/national/nsw/how-australia-s-flood-capital-is-rebuilding-two-years-on-20240905-p5k83d.html
Liberals (Federal), Brian Loughnane, Federal Director, , 1/2/2016, https://en.wikipedia.org/wiki/Brian_Loughnane
International Democrat Union, Brian Loughnane, Deputy Chairman, 1/4/2019, , https://en.wikipedia.org/wiki/Brian_Loughnane
Loughnane / Credlin Family, Brian Loughnane, Husband,1/12/2002 , , https://en.wikipedia.org/wiki/Brian_Loughnane
Loughnane / Credlin Family, Peta Credlin, Wife,1/12/2002 , , https://en.wikipedia.org/wiki/Peta_Credlin
Office of Tony Abbot, Peta Credlin, Chief of Staff, , , https://en.wikipedia.org/wiki/Peta_Credlin
Office of Tony Abbot, Tony Abbot, , , , https://en.wikipedia.org/wiki/Brian_Loughnane
Office of John Howard, Brian Loughnane, Chief of Staff, , , https://en.wikipedia.org/wiki/Brian_Loughnane
Office of Alexander Downer, Brian Loughnane, Chief of Staff, , , https://en.wikipedia.org/wiki/Brian_Loughnane
Office of John Howard, John Howard, , , , https://en.wikipedia.org/wiki/Brian_Loughnane
Office of Alexander Downer, Alexander Downer, , , , https://en.wikipedia.org/wiki/Brian_Loughnane
Rule / Oh Family, Sophie Oh,Wife , , , https://www.afr.com/property/residential/toorak-power-couple-buy-nick-and-camilla-speer-s-25m-portsea-pad-20240503-p5foqn
Rule / Oh Family, Grant Rule,HUsband , , , https://www.afr.com/property/residential/toorak-power-couple-buy-nick-and-camilla-speer-s-25m-portsea-pad-20240503-p5foqn
