name,party,electorate,state,start_date,end_date
Rachel Siewert,Greens Federal,Western Australia,WESTERN AUSTRALIA,2005-01-01,2021-01-01
Arthur Sinodinos AO,Liberal Federal,New South Wales,NEW SOUTH WALES,2011-01-01,2019-05-18
Ben Small,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2020-01-01,2022-05-22
Dean Smith,Liberal Federal,Western Australia,WESTERN AUSTRALIA,2012-01-01,""
Marielle Smith,Labor Federal,South Australia,SOUTH AUSTRALIA,2019-05-18,""
Jordon Steele-John,Greens Federal,Western Australia,WESTERN AUSTRALIA,2017-01-01,""
Glenn Sterle,Labor Federal,Western Australia,WESTERN AUSTRALIA,2005-01-01,""
Jana Stewart,Labor Federal,Victoria,VICTORIA,2022-05-22,""
Amanda Stoker,Liberal National Federal,Queensland,QUEENSLAND,2018-01-01,2022-05-22
Lidia Thorpe,Greens Federal,Victoria,VICTORIA,2020-01-01,""
Anne Urquhart,Labor Federal,Tasmania,TASMANIA,2011-01-01,""
David Van,Liberal Federal,Victoria,VICTORIA,2019-05-18,""
Jess Walsh,Labor Federal,Victoria,VICTORIA,2019-05-18,""
Larissa Waters,Greens Federal,Queensland,QUEENSLAND,2018-01-01,""
Murray Watt,Labor Federal,Queensland,QUEENSLAND,2016-07-02,""
Peter Whish-Wilson,Greens Federal,Tasmania,TASMANIA,2012-01-01,""
Penny Wong,Labor Federal,South Australia,SOUTH AUSTRALIA,2002-01-01,""
