name	date published	abn	client of
Inpex Operations Australia Pty Ltd	27 August 2019	48 150 217 262	Counsel House Pty Ltd | 35 631 919 009
InQuik Pty Ltd	31 July 2023	73 618 334 286	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Insightec	23 December 2020		Kurrajong Strategic Counsel | 14 625 954 912
Insignia Financial Ltd	14 February 2019		TG Public Affairs Pty Ltd | 23 630 677 673
Institute of Australian Tour Guides	21 October 2022	12 705 167 373	SA Milgate and Associates, Pty, Ltd | 54 078 858 401
Insulet Australia Pty Ltd	6 October 2021	42 643 246 011	Jannette Cotterell | 51 364 113 263
Insurance Council of Australia	12 April 2021	50 005 617 318	Rapport Public Affairs | 49 932 898 613
Intech Strategies	1 March 2010		Probity International Pty. Ltd | 77 076 174 126
INTEGRATED TRAINING SOLUTIONS (AUST) PTY LTD	4 December 2024	97 095 015 615	Counsel House Pty Ltd | 35 631 919 009
INTEGRATED TRAINING SOLUTIONS (AUST) PTY LTD	13 December 2024	97 095 015 615	Horizon GR Pty Ltd | 72 652 169 170
INTELLIHUB AUSTRALIA PTY LTD	10 June 2020	97 626 079 614	SECOND SUN MEDIA PTY LTD | 25 633 329 174
Intellihub Pty Ltd	9 September 2024	57 601 509 693	GRACosway Pty Ltd | 50 082 123 822
INTELSAT ASIA PTY LTD	24 June 2021	86 062 979 784	WellComm Solutions | 15 281 181 953
Interactive Games and Entertainment Association Ltd	1 June 2023	40 101 586 958	TSB Advisory Pty Ltd | 90 604 408 826
Intercontinental Energy	20 July 2023	73 650 335 318	CGM Communications Pty Ltd | 66 619 642 858
Intermediate Capital Australia Pty Ltd	16 April 2024	89 121 413 009	GRACosway Pty Ltd | 50 082 123 822
International Association of Public Participation Australasia Limited	14 July 2023	20 165 006 511	Counsel House Pty Ltd | 35 631 919 009
International Buddhist Association of Australia Cooperative	22 June 2022	57 564 582 587	Banksia Strategic Partners Pty Ltd | 50 660 359 866
International Buddhist College of Victoria Inc	28 February 2024	97 399 290 733	Banksia Strategic Partners Pty Ltd | 50 660 359 866
International Code Council	7 May 2024		Nexus APAC Pty Ltd | 76 615 655 699
International Power (Australia)	14 February 2019		TG Public Affairs Pty Ltd | 23 630 677 673
International Social Games Association	3 April 2023		Horizon GR Pty Ltd | 72 652 169 170
International Social Games Association	14 April 2022		The Trustee for Arthur Trust | 63 272 133 108
Internet2.0	5 May 2023	17 632 726 946	Horizon GR Pty Ltd | 72 652 169 170
IntoWork	1 February 2021	85 0 061 621 52	BB Win Win Outcomes | 91 671 079 056
Intuit	5 October 2023	28 163 072 704	DPG Advisory Solutions | 14 634 403 115
INVASIVE ANIMALS LTD	6 March 2024	33 114 965 276	SEC Newgate Pty Limited | 38 162 366 056
Inventive Health	30 May 2024		JPG Advisory | 95 646 954 574
Investor Group on Climate Change (IGCC)	4 October 2022	15 519 534 459	SEC Newgate Pty Limited | 38 162 366 056
InvoCare Australia	3 May 2021	42 096 437 393	Alistair Nicholas Consulting Pty Ltd | 81 655 939 852
Ionize Pty Ltd	4 May 2023	62 132 569 941	Making The World A Better Place Pty Ltd | 13 075 789 196
IP Group Australia	5 October 2023	87 617 966 695	Primary Communication Partners Pty Limited | 36 617 864 347
Iplex Pipelines Australia Pty Limited	16 September 2022	56 079 613 308	GRACosway Pty Ltd | 50 082 123 822
Ipsen	2 August 2017		OGILVY HEALTH PTY LTD | 62 114 807 877
IPSEN PTY LTD	7 February 2024	47 095 036 909	Precision Public Affairs Pty Ltd | 42 639 299 415
Iridium Satellite LLC	12 December 2017		Trustee of Kerans Family Trust | 60 355 347 758
Ironlaw Pty Limited	30 June 2020	35 003 956 330	Primary Communication Partners Pty Limited | 36 617 864 347
Isentia	19 February 2020		Richardson Coutts Pty Ltd | 82 378 912 405
iSi GMBH	25 October 2024		Hawker Britton Group Pty Ltd | 79 109 681 405
Iskander, Sameh	15 May 2024	89 283 640 047	SAS Consulting Group Pty Ltd | 33 136 520 548
Israel Aerospace Industries Limited	1 March 2010		Intercorp Pty Ltd | 88 327 768 518
Israel Aerospace Industries Ltd	3 February 2023		Horizon GR Pty Ltd | 72 652 169 170
Israel Weapon Industries (IWI)	10 July 2020		Intercorp Pty Ltd | 88 327 768 518
ISS Facility Services Pty Ltd	30 March 2020	70 108 821 576	Perdition Road Pty Limited | 16 641 888 495
ITV	4 August 2022	91 088 957 706	Milner Strategic Services | 24 957 388 494
Iveco Trucks Australia Ltd	1 February 2022	86 004 065 061	John Fetter Group Pty Ltd | 72 688 652 639
iXblue Pte Ltd	8 February 2022		Seismic Asia Pacific Pty Ltd | 31 083 755 104
J & F CORPORATION PTY. LTD.	13 December 2024	62 079 606 045	Horizon GR Pty Ltd | 72 652 169 170
J.P. Morgan	11 September 2024		TG Public Affairs Pty Ltd | 23 630 677 673
Jabalbina Yalanji Aboriginal Corporation NTBC	28 June 2024	79 611 886 178	Upstream Consulting Pty Ltd | 87 620 657 418
James Fisher Australia Pty Ltd	24 October 2017	64 131 962 439	The Trustee for Arthur Trust | 63 272 133 108
Jamestrong Packaging Australia Pty Ltd	3 February 2021	52 121 722 290	Daymark Public Relations Pty Ltd | 70 737 580 108
Jandakot Airport Holdings Pty Ltd	15 November 2023	57 081 643 156	Purple Communications Australia Pty Ltd | 37 108 802 366
Janssen	12 July 2017	81 557 114 620	OGILVY HEALTH PTY LTD | 62 114 807 877
Janssen-Cilag	20 September 2023	47 000 129 975	Provocate Pty Ltd | 42 622 384 525
JB Medical Supplies Pty Ltd	24 July 2023	81 129 452 768	Wurley Group Pty Ltd | 13 100 392 827
JBS Australia Pty Ltd	6 June 2017		Scott Mitchell and Partners Pty Ltd | 80 617 178 453
JDRF Australia	14 September 2023	40 002 286 553	A.GR Advisors Pty Ltd | 56 665 229 112
JDRF AUSTRALIA	9 February 2021	40 002 286 553	OGILVY HEALTH PTY LTD | 62 114 807 877
JELE CHEMISTS PTY LTD	16 September 2022		BB Win Win Outcomes | 91 671 079 056
JELLINBAH GROUP PTY LTD	4 March 2024	54 010 754 793	Northstar Public Affairs Pty Ltd | 25 638 744 046
JERA Australia Pty Ltd	20 January 2023	68 140 147 048	Cahill and Bailey Pty Ltd | 14 616 647 628
JERA Australia Pty Ltd	22 March 2024	68 140 147 048	A.GR Advisors Pty Ltd | 56 665 229 112
JERA Australia Pty Ltd	30 July 2024	68 140 147 048	Lunik Pty Ltd | 83 615 178 571
Jera Australia Pty Ltd	17 July 2024	68 140 147 048	Anacta Strategies Pty Ltd | 64 633 978 677
JEWISH ARTS QUARTER LTD	14 August 2023	34 649 543 822	Colbourne Advisory Pty Ltd | 83 665 601 892
Jewish Cultural Centre and National Library Kadimah	11 March 2021	76 004 162 216	Primary Communication Partners Pty Limited | 36 617 864 347
Jigsaw Group	8 July 2020	87 624 033 487	Asys Consulting | 74 068 259 683
JobDNA.me Pty Ltd	4 December 2023	86 622 684 860	SP Maher and SL Maher | 29 560 969 499
JobDNA.me Pty Ltd	9 January 2024	86 622 684 860	GovTech Australia Pty Ltd | 51 673 743 890
JOHNS LYNG GROUP LIMITED	16 June 2016	86 620 466 248	PRX Unit Trust | 71 595 434 578
Johnson & Johnson Medical	20 September 2023	85 000 160 403	Provocate Pty Ltd | 42 622 384 525
Johnson and Johnson Medical	2 July 2014		OGILVY HEALTH PTY LTD | 62 114 807 877
Jones Lang Lasalle Australia Pty Ltd	29 November 2023	49 008 476 257	Premier State Consulting Pty Ltd | 26 149 964 189
Jones Lang Lasalle Australia Pty Ltd	29 November 2023	49 008 476 257	PremierNational Pty Ltd | 71 619 450 841
J-Power Australia Pty Ltd	3 September 2024	59 002 307 682	TG Public Affairs Pty Ltd | 23 630 677 673
Julalikari Council Aboriginal Corporation	13 February 2024	52 109 391 552	Mark Coffey Consulting | 35 636 125 776
Junior Adventures Group Pty Ltd	26 July 2018		GRACosway Pty Ltd | 50 082 123 822
Juniper Biologics Pty Ltd	23 February 2022	97 655 479 897	Kirchmann Management Consultants Pty Ltd | 34 837 287 161
Just Excellence Investments Pty Ltd	1 March 2010		CRAKYL Pty Ltd | 40 105 759 279
Justice Reform Initiative	18 July 2022	68 640 446 448	The Shape Agency | 67 618 969 332
K plus S Salt Australia	20 June 2016		Purple Communications Australia Pty Ltd | 37 108 802 366
Kalari HSE	1 June 2023	14 004 595 395	PRX Unit Trust | 71 595 434 578
Kalbar Operations	6 June 2022	30 635 720 759	RedBridge Group Pty Ltd | 11 650 587 867
Kandui Technologies Pty Ltd	8 February 2024	73 642 894 755	Wilkinson Butler Pty Ltd | 95 164 204 111
Kardinya Park Shopping Centre	20 June 2018		Coode Holdings Pty Ltd | 81 623 654 839
Kathryn Stanford Consulting	9 November 2023	65 647 757 597	Wilkinson Butler Pty Ltd | 95 164 204 111
Kawasaki Heavy Industries Ltd	31 January 2024		GRACosway Pty Ltd | 50 082 123 822
Kellogg Brown & Root Pty Ltd	27 April 2016	91 007 660 317	The Trustee for Arthur Trust | 63 272 133 108
Kellogg Brown & Root Pty Ltd	15 December 2023	91 007 660 317	CMAX Communications Pty Ltd | 73 130 740 546
Kentucky Fried Chicken Pty Ltd	28 April 2021	79 000 587 780	GRACosway Pty Ltd | 50 082 123 822
Kilara Energy	20 May 2024	59 645 842 655	Principle Advisory Pty Ltd | 29 657 059 848
KimberlyClark Australia	5 June 2018		Meso Consulting Pty Ltd | 77 103 564 254
Kimberly-Clark Australia Pty Ltd	14 July 2020	65 000 032 333	GRACosway Pty Ltd | 50 082 123 822
KimberlyClark Corporation	5 June 2018		Meso Consulting Pty Ltd | 77 103 564 254
KimberlyClark Professional Asia Pacific	5 June 2018		Meso Consulting Pty Ltd | 77 103 564 254
Kinetic Transportation	6 June 2022	54 882 513 897	PR4PR Pty Ltd | 89 634 536 351
Kingspan Insulation Australasia	27 July 2023	44 100 405 025	Jill Johnson Media Pty Ltd | 93 619 527 954
Kingspan Pty Ltd	13 July 2023	62 108 491 881	Woodhill Communication Pty Ltd | 62 613 694 189
KKR	1 March 2010		The Trustee for Bespoke Business Trust | 86 231 566 780
Klein Marine Systems, Inc	30 June 2016		Seismic Asia Pacific Pty Ltd | 31 083 755 104
Kmart Australia Limited	28 February 2024	73 004 700 485	Banksia Strategic Partners Pty Ltd | 50 660 359 866
KMART AUSTRALIA LIMITED	11 July 2013	73 004 700 485	PRX Unit Trust | 71 595 434 578
KnectIQ, Inc.	28 August 2024		PYNE AND PARTNERS PTY LTD | 81 634 747 363
Knudsen Engineering Limited	24 February 2015		Seismic Asia Pacific Pty Ltd | 31 083 755 104
Kongsberg Defence & Aerospace (Norway)	14 July 2022		LOPAC Consulting Pty Limited | 84 150 667 486
Koomarri	25 September 2024	38 599 467 782	Primary Communication Partners Pty Limited | 36 617 864 347
Korea Southern Power Co., Ltd.	3 May 2024		Purple Communications Australia Pty Ltd | 37 108 802 366
KRAIT CORPORATION PTY LIMITED	10 November 2020	76 631 571 250	Operational Legal Australia Pty Ltd | 79 632 066 669
Kumul Petroleum Holdings Limited	17 January 2019		Wilkinson Butler Pty Ltd | 95 164 204 111
Kwinana WTE Project Co Pty Ltd	16 July 2024	65 165 661 263	Clarity Corporate Communications Pty Ltd | 80 086 277 787
Kyndryl	30 August 2022		FA McLachlan Consulting | 30 537 339 018
KYOWA KIRIN AUSTRALIA PTY LTD	5 November 2020	47 631 934 453	Precision Public Affairs Pty Ltd | 42 639 299 415
L’Oréal Australia Pty Ltd	2 September 2022	40 004 191 673	PYNE AND PARTNERS PTY LTD | 81 634 747 363
L3 Harris Technologies Inc	1 July 2022		Jenkins Engineering defence Systems Pty Ltd | 40 003 842 126
L3Harris Technologies Australia Group Pty Ltd	24 May 2024	61 654 390 146	PYNE AND PARTNERS PTY LTD | 81 634 747 363
L3HARRIS TECHNOLOGIES AUSTRALIA GROUP PTY LTD	13 November 2023	61 654 390 146	Precision Public Affairs Pty Ltd | 42 639 299 415
La Trobe University	8 June 2023		TG Public Affairs Pty Ltd | 23 630 677 673
Laos Animal Farm Corporation	9 January 2024		GovTech Australia Pty Ltd | 51 673 743 890
Large Format Retail Association Limited	13 February 2018	31 131 555 612	Primary Communication Partners Pty Limited | 36 617 864 347
Laronix Pty ltd	31 January 2024	55 628 231 158	Royce Communications Pty Ltd | 91 167 042 408
Larvotto Resources Limited	20 March 2024	16 645 596 238	GRACosway Pty Ltd | 50 082 123 822
Lateral Aspect	21 October 2024	96 288 567 189	Counsel House Pty Ltd | 35 631 919 009
LAVA BLUE LTD	24 May 2023	11 605 427 478	Convaim Pty Ltd | 69 628 935 133
Law In Order	9 October 2012		Richardson Coutts Pty Ltd | 82 378 912 405
Le Cordon Bleu Australia	5 November 2024	18 081 849 185	TG Public Affairs Pty Ltd | 23 630 677 673
LECA	4 October 2022		CPI Strategic Pty Ltd | 47 139 102 891
LEGO Singapore	8 November 2024		Richardson Coutts Pty Ltd | 82 378 912 405
Leidos Australia Pty Ltd	30 April 2024	79 612 590 155	TG Public Affairs Pty Ltd | 23 630 677 673
Lendlease Pty Ltd	25 September 2019		TG Public Affairs Pty Ltd | 23 630 677 673
Levin Health Ltd	1 July 2021	19 620 368 710	Asys Consulting | 74 068 259 683
LGBTIQPLUS HEALTH AUSTRALIA	11 September 2023	45 138 151 569	Jo Scard Pty Ltd | 29 145 634 224
Liberty Bell Bay	7 February 2023	23 004 456 035	Paramul Pty Ltd | 37 140 000 602
Liberty Holdings Australia Ltd	14 January 2020	16 627 011 938	Michael Johnson Associates Pty Limited | 65 003 644 657
Libra Energy Pty Ltd	6 December 2024	55 668 200 619	Crisis&Comms Co Pty Ltd | 56 637 786 899
Life Without Barriers	3 July 2023	15 101 252 171	Lady & Professor Pty Ltd | 16 642 238 702
Lighting Council Australia Limited	19 November 2024	64 130 217 613	SAS Consulting Group Pty Ltd | 33 136 520 548
Line Hydrogen	19 May 2022	53 635 646 721	Paramul Pty Ltd | 37 140 000 602
Linfox	4 August 2022		Milner Strategic Services | 24 957 388 494
Linkedin Australia Pty Limited	27 July 2023	82 140 982 243	Precision Public Affairs Pty Ltd | 42 639 299 415
Lion	12 April 2023	13 008 596 370	Principle Advisory Pty Ltd | 29 657 059 848
Lion	24 January 2013		Res Publica Pty Ltd | 63 103 178 258
Lion - Beer Spirits and Wine Pty Ltd	15 June 2022	13 008 596 370	Anacta Strategies Pty Ltd | 64 633 978 677
Lionel Samson Group Pty Ltd	27 March 2020	27 008 731 244	The Trustee for THE D & W CHRISTISON FAMILY TRUST | 70 997 483 976
Lions Eye Institute Limited	17 September 2020	48 106 521 439	GRA Partners Pty Ltd | 56 131 702 755
Lions Hearing Dogs Inc	4 November 2022	37 976 454 009	ALPHA Consult Pty Ltd | 39 612 003 460
Liontown Resources Limited	1 November 2023	39 118 153 825	GRA Partners Pty Ltd | 56 131 702 755
LiS Energy Limited	25 July 2023	12 634 839 857	National Advisory Pty Ltd | 29 634 573 363
Lite n' Easy Pty Ltd (ABN 33 010 655 820)	7 December 2023	33 010 655 820	H/Advisors APA Pty Ltd | 60 074 901 545
Litecard Pty Ltd	7 February 2023	42 649 825 301	Paramul Pty Ltd | 37 140 000 602
Livingbridge	16 May 2024		GRACosway Pty Ltd | 50 082 123 822
LIVIUM LTD	15 November 2023	29 126 129 413	CPR Communications & Public Relations Pty Ltd | 94 064 357 544
LMS Energy	23 September 2022		DPG Advisory Solutions | 14 634 403 115
Local: Residential Pty Ltd	17 April 2023	24 653 710 331	The Civic Partnership Pty Ltd | 71 652 574 171
Lochard Energy	9 November 2021		TG Public Affairs Pty Ltd | 23 630 677 673
Lochard Energy (Iona Operations) Trust	18 June 2024	25 151 811 449	Israelsohn, Ian Mark | 64 278 705 442
Lockelec Rolling Stock	22 April 2024	54 634 831 860	Axiom Public Policy | 68 666 723 691
Lockheed Martin Australia	17 July 2020	30 008 425 509	GCB STRATOS CONSULTING PTY LTD | 36 608 484 920
Lockheed Martin Australia Pty Ltd	25 July 2022		The Civic Partnership Pty Ltd | 71 652 574 171
Lockheed Martin Australia Pty Ltd	19 July 2023	30 008 425 509	Sodali & Co Pty Ltd | 90 122 943 131
Logos Australia Group Pty Ltd	24 June 2021	54 602 111 866	GRACosway Pty Ltd | 50 082 123 822
Longreach Maris	12 July 2024	98 635 662 734	CGM Communications Pty Ltd | 66 619 642 858
L'Oreal Australia Pty Ltd	1 February 2022	40 004 191 673	Kirchmann Management Consultants Pty Ltd | 34 837 287 161
Lorq Building Pty Ltd	8 July 2024	52 623 309 142	BB Win Win Outcomes | 91 671 079 056
Lot 105 Pty Ltd - The Trustee for Urban Capital Unit Trust #4	7 February 2023	96 154 121 456	Coode Holdings Pty Ltd | 81 623 654 839
Lot 151 Pty Ltd	3 May 2021		Coode Holdings Pty Ltd | 81 623 654 839
Lot 152 Pty Ltd	11 June 2019		Coode Holdings Pty Ltd | 81 623 654 839
Low Emission Technology Australia	9 February 2023		TG Public Affairs Pty Ltd | 23 630 677 673
Lumi Health	13 February 2024		Jannette Cotterell | 51 364 113 263
LUMILA FILMS PTY LTD	24 May 2024	63 131 955 523	Walter William Secord | 48 219 768 150
Lundbeck Australia	8 November 2021	86 070 094 290	MD Media Pty Limited | 53 106 441 650
Lung Foundation Australia	4 October 2018		OGILVY HEALTH PTY LTD | 62 114 807 877
LUYTEN 3D PTY LTD	7 March 2023	45 646 145 020	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Lymphoma Australia Limited	9 February 2023	36 709 461 048	OGILVY HEALTH PTY LTD | 62 114 807 877
M Resources Trading Pty Ltd	18 October 2021	58 156 582 320	Crisis&Comms Co Pty Ltd | 56 637 786 899
MA Financial Group Limited	4 October 2023	68 142 008 428	SEC Newgate Pty Limited | 38 162 366 056
Macdoch Group	10 February 2020	68 130 198 266	The Fifth Estate Consultancy Pty Ltd | 51 069 838 222
Macquarie Group Limited	16 December 2022	94 122 169 279	Principle Advisory Pty Ltd | 29 657 059 848
Macular Disease Foundation Australia	20 April 2020		OGILVY HEALTH PTY LTD | 62 114 807 877
Madalah Ltd	2 February 2023	51 136 001 397	CGM Communications Pty Ltd | 66 619 642 858
MAG Aerospace Australia Pty	26 August 2024	74 613 313 830	Maddison, Paul Andrew | 19 114 390 556
Magnetite Mines Limited	30 January 2024	34 108 102 432	Mission Consulting Solutions | 32 660 516 974
Magnetite Network	1 March 2010		Megan Anwyl | 13 159 060 561
Mahboba's Promise Incorporated	15 March 2022	85 254 682 685	Northstar Public Affairs Pty Ltd | 25 638 744 046
Maia Technology	27 November 2019	19 605 252 042	The Fifth Estate Consultancy Pty Ltd | 51 069 838 222
Malabar Resources	2 April 2020	29 151 691 468	SEC Newgate Pty Limited | 38 162 366 056
Mallee Family Care	8 November 2023	32 085 588 656	Salus Advisory Pty Ltd | 77 282 880 834
Manthos Investments Pty Ltd	16 August 2022	31 005 265 261	PR4PR Pty Ltd | 89 634 536 351
Manufacturing Australia	14 February 2019		TG Public Affairs Pty Ltd | 23 630 677 673
Marand Precision Engineering Pty Ltd	29 January 2020		TG Public Affairs Pty Ltd | 23 630 677 673
Marand Precision Engineering Pty Ltd	8 September 2020	59 004 763 688	PRX Unit Trust | 71 595 434 578
MARITIME INDUSTRY AUSTRALIA LTD	17 October 2024	73 006 627 934	SEC Newgate Pty Limited | 38 162 366 056
Maritime Robotics	8 February 2022		Seismic Asia Pacific Pty Ltd | 31 083 755 104
Mars Australia Pty Ltd	13 March 2020	48 008 454 313	GRACosway Pty Ltd | 50 082 123 822
Mars Petcare	20 November 2019		FPL Advisory Pty Ltd | 34 123 819 385
Mars Wrigley	20 November 2019		FPL Advisory Pty Ltd | 34 123 819 385
Martinus Rail Pty Ltd	15 March 2022	90 117 147 645	Northstar Public Affairs Pty Ltd | 25 638 744 046
Mary Spiteri	12 July 2022		BusinessAide Pty Ltd | 11 127 557 448
Master Electricians Australia	31 March 2011		SAS Consulting Group Pty Ltd | 33 136 520 548
Master Grocers Australia Limited	17 December 2024	44 004 063 263	Sapphire Executive Business Services | 17 661 600 504
Match Group LLC	1 September 2020		National Advisory Pty Ltd | 29 634 573 363
MATES IN CONSTRUCTION (AUST) LIMITED	8 May 2015		SAS Consulting Group Pty Ltd | 33 136 520 548
Matrix Composites & Engineering Ltd	8 December 2023	54 009 435 250	PYNE AND PARTNERS PTY LTD | 81 634 747 363
Max Solutions	6 October 2021	51 067 092 737	Cornerstone Group Australia Pty Ltd | 99 153 936 719
MaxSil Pty Ltd	1 July 2024	49 648 206 179	Greenbox Advisory Pty Ltd | 65 625 260 933
Maxsum Solutions Pty Ltd	1 June 2023	67 102 287 212	PRX Unit Trust | 71 595 434 578
MAXXIA PTY LTD	22 February 2018	39 082 449 036	PRX Unit Trust | 71 595 434 578
Mayur Resources	13 November 2022	36 619 770 277	Milner Strategic Services | 24 957 388 494
Mazzei Group Pty Ltd	30 August 2024	36 620 085 707	Horizon GR Pty Ltd | 72 652 169 170
MBDA	3 August 2017	65 434 268 716	Lunik Pty Ltd | 83 615 178 571
McCain Foods Australia	6 April 2020	96 000 629 587	GRACosway Pty Ltd | 50 082 123 822
McCain Foods Australia New Zealand	1 February 2016		Porter Novelli Australia Pty Ltd | 40 079 616 050
McDonald's Australia Limited	2 November 2023	43 008 496 928	GRACosway Pty Ltd | 50 082 123 822
McGrathNicol	18 October 2019		Sefiani Communications Group Pty Ltd | 86 090 759 032
McLean Care Ltd (ABN 88 124 860 019)	21 December 2023	88 124 860 019	H/Advisors APA Pty Ltd | 60 074 901 545
MDF Global	17 October 2024	97 637 394 579	SAS Consulting Group Pty Ltd | 33 136 520 548
Meadow Creek Solar Farm Pty Ltd	25 October 2024	76 650 485 635	The Civic Partnership Pty Ltd | 71 652 574 171
Medcast	11 July 2024		Jannette Cotterell | 51 364 113 263
Media Federation of Australia	22 November 2023	29 153 606 681	The Trustee for Arthur Trust | 63 272 133 108
Medibank Private Limited	20 August 2024	47 080 890 259	TG Public Affairs Pty Ltd | 23 630 677 673
Medical Deans Australia and New Zealand Inc (ABN 34 127 863 159)	22 December 2023	34 127 863 159	H/Advisors APA Pty Ltd | 60 074 901 545
Medical Oncology Group of Australia	17 January 2013		Jannette Cotterell | 51 364 113 263
Medical One Services Pty Ltd	23 August 2023	92 623 808 152	H/Advisors APA Pty Ltd | 60 074 901 545
Medical Technology Association of Australia	20 September 2023	61 129 334 354	Provocate Pty Ltd | 42 622 384 525
Medison Pharma Australia PTY Limited	3 February 2023	19 659 723 403	Nexus APAC Pty Ltd | 76 615 655 699
Medlab Pathology Pty Ltd	16 September 2020	93 088 071 041	Cornerstone Group Australia Pty Ltd | 99 153 936 719
Medtronic Australasia	8 March 2024	47 001 162 661	A.GR Advisors Pty Ltd | 56 665 229 112
Meet The Chiefs	2 March 2023	26 640 108 425	Making The World A Better Place Pty Ltd | 13 075 789 196
MEGT (AUSTRALIA) LTD	25 October 2023	85 006 266 280	Counsel House Pty Ltd | 35 631 919 009
MELANOMA AND SKIN CANCER ADVOCACY NETWORK LTD	14 February 2024	29 635 259 497	OGILVY HEALTH PTY LTD | 62 114 807 877
Melanoma and Skin Cancer Trials Limited	5 June 2020	70 626 908 512	PRX Unit Trust | 71 595 434 578
Melanoma Institute Australia	29 February 2024	35 123 321 148	DPG Advisory Solutions | 14 634 403 115
Melanoma Institute of Australia	11 June 2020		Premier Strategy Pty Ltd | 63 106 038 304
Melanoma Patients Australia	9 June 2021	30 123 091 912	Nexus APAC Pty Ltd | 76 615 655 699
Melbourne City Mission	8 October 2024	56 161 846 149	Social Change Projects Pty Ltd | 60 676 321 270
Melbourne Knights Football Club Inc.	22 December 2021		Partisan Strategic | 76 079 381 414
Menulog Group Ltd	3 February 2020	76 120 943 615	Cornerstone Group Australia Pty Ltd | 99 153 936 719
Merck Healthcare Pty Ltd	6 July 2023	72 006 900 830	TJ Health Comms | 64 705 249 956
Merck Serono Australia Pty Ltd	1 March 2010		Richardson Coutts Pty Ltd | 82 378 912 405
Merck Sharp & Dohme (Australia) Pty Limited	16 January 2014		Jannette Cotterell | 51 364 113 263
Merri Community Health Services Limited	22 April 2024	24 550 946 840	Axiom Public Policy | 68 666 723 691
Meta	22 July 2022	83 134 012 543	Principle Advisory Pty Ltd | 29 657 059 848
Metagenics (Aust) Pty Ltd (ABN 73 010 636 165)	23 April 2024	73 010 636 165	H/Advisors APA Pty Ltd | 60 074 901 545
Metallicum Minerals Corporation	5 August 2024	19 662 212 937	Capetal Advisory Pty Ltd | 86 615 732 182
Metallicum Minerals Corporation Pty Ltd	2 October 2024	19 662 212 937	Counsel House Pty Ltd | 35 631 919 009
Metrea Australia Pty Ltd	17 October 2024		Counsel House Pty Ltd | 35 631 919 009
MGA Whittles	9 December 2022	77 088 100 118	Trustee for the Colt Consulting Trust | 82 323 362 075
Micah Projects	3 February 2023	76 409 721 192	Jo Scard Pty Ltd | 29 145 634 224
Michelin	13 July 2021		Hawker Britton Group Pty Ltd | 79 109 681 405
Midfield Meat International Pty Ltd	8 February 2022	78 065 864 904	PRX Unit Trust | 71 595 434 578
MILES MORGAN AUSTRALIA PTY LTD	3 June 2024	11 081 037 005	FTI Consulting (Australia) Pty Ltd | 49 160 397 811
Mind Medicine Australia Limited	22 October 2024	62 630 150 873	Hawker Britton Group Pty Ltd | 79 109 681 405
MIND Technology, Inc.	8 February 2022		Seismic Asia Pacific Pty Ltd | 31 083 755 104
Minderoo Foundation	2 March 2018		Jannette Cotterell | 51 364 113 263
Minderoo Foundation	16 July 2020	18 098 198 684	SEC Newgate Pty Limited | 38 162 366 056
Minderoo Foundation / Walk Free	12 October 2021	47 204 978 079	Advisory Street | 28 613 329 472
MINDEROO FOUNDATION LIMITED	1 February 2024	41 651 422 141	Essential Media Communications | 48 074 671 462
Minderoo Group PTY Lltd	2 March 2018		Jannette Cotterell | 51 364 113 263
Minerals Council of Australia	3 February 2023	21 191 309 229	Headline Advisory Pty Ltd | 73 268 549 885
Minerva Network	7 June 2024	35 626 030 671	SEC Newgate Pty Limited | 38 162 366 056
Minesco Pty Ltd	23 December 2021	48 103 808 760	BusinessAide Pty Ltd | 11 127 557 448
MIRACLE BABIES FOUNDATION LTD	25 January 2024	14 137 434 596	Jo Scard Pty Ltd | 29 145 634 224
Missing Persons Advocacy Network	17 July 2024	56 606 576 914	HUGH-JONES, CHARLES RUPERT | 52 312 264 983
MissingSchool	7 February 2024	77 164 124 450	Bourke Street Advisory | 54 075 139 609
Mission Australia	8 October 2024	15 000 002 522	Social Change Projects Pty Ltd | 60 676 321 270
MISSION AUSTRALIA	4 November 2024	15 000 002 522	Hawker Britton Group Pty Ltd | 79 109 681 405
Mitsubishi Heavy Industries Ltd	23 September 2024		Indo Pacific Advisory Pty Ltd | 78 669 769 859
MITSUBISHI MOTORS AUSTRALIA LIMITED	29 August 2023	53 007 870 395	Edelman Australia Pty Ltd | 40 004 846 100
Mitsui E&P Australia Pty Ltd	20 September 2018	45 108 437 529	GRA Partners Pty Ltd | 56 131 702 755
Moderna Australia PTY LTD	28 February 2023	65 650 204 872	CMAX Communications Pty Ltd | 73 130 740 546
Molico Pty Ltd	25 August 2023	52 169 196 061	Molico Pty Ltd | 52 169 196 061
Momentum Intelligence Pty Ltd	17 February 2022	50 624 168 618	Precision Public Affairs Pty Ltd | 42 639 299 415
Monash Mens Shed	17 September 2013	90 609 155 162	Gregory Robert Male
Monash Partners	2 January 2020		Jannette Cotterell | 51 364 113 263
Monash University	31 October 2024	12 377 614 012	The Civic Partnership Pty Ltd | 71 652 574 171
Mondelez Australia Pty Ltd	29 January 2015		SEC Newgate Pty Limited | 38 162 366 056
Montarosa Pty Ltd	10 May 2022		The Civic Partnership Pty Ltd | 71 652 574 171
MOODY'S ANALYTICS AUSTRALIA PTY LTD	7 February 2023	94 105 136 972	The Trustee for CHIKAROVSKI FAMILY TRUST | 92 715 851 492
