Member,Party,Electorate,State,Years_in_office
"Gerard Rennick
(born 1970)",Liberal National [h],Queensland,Queensland,2019—current
"Linda Reynolds CSC
(born 1965)",Liberal,Western Australia,Western Australia,2014—current
"Janet Rice
(born 1960)",Greens,Victoria,Victoria,2014—current
"Malcolm Roberts
(born 1955)",One Nation,Queensland,Queensland,2019—current
"Anne Ruston
(born 1963)",Liberal,South Australia,South Australia,2012—current
"Paul Scarr
(born 1969)",Liberal National [h],Queensland,Queensland,2019—current
"Dave Sharma [e]
(born 1975)",Liberal,New South Wales,New South Wales,2023—current
"Tony Sheldon
(born 1961)",Labor,New South Wales,New South Wales,2019—current
"David Shoebridge
(born 1971)",Greens,New South Wales,New South Wales,2022—current
"Dean Smith
(born 1969)",Liberal,Western Australia,Western Australia,2012—current
"Marielle Smith
(born 1986)",Labor,South Australia,South Australia,2019—current
"Jordon Steele-John
(born 1994)",Greens,Western Australia,Western Australia,2017—current
"Glenn Sterle
(born 1960)",Labor,Western Australia,Western Australia,2005—current
"Jana Stewart
(born 1987)",Labor,Victoria,Victoria,2022—current
"Lidia Thorpe
(born 1973)",Greens / Independent[c],Victoria,Victoria,2020—current
"Tammy Tyrrell
(born 1970)",Lambie /Independent [j],Tasmania,Tasmania,2022—current
"Anne Urquhart
(born 1957)",Labor,Tasmania,Tasmania,2011—current
"David Van
(born 1964)",Liberal,Victoria,Victoria,2019—current
"Jess Walsh
(born 1971)",Labor,Victoria,Victoria,2019—current
"Larissa Waters
(born 1977)",Greens,Queensland,Queensland,2018—current
"Murray Watt
(born 1973)",Labor,Queensland,Queensland,2016—current
"Peter Whish-Wilson
(born 1968)",Greens,Tasmania,Tasmania,2012—current
"Linda White
(1960–2024)",Labor,Victoria,Victoria,2022—2024
"Penny Wong
(born 1968)",Labor,South Australia,South Australia,2002—current
